,Sample_A,Sample_B,Total_positions_comp,Pos_same_genotype,Pos_different_genotyope,Hom,Het,identical_position (%)
1,W1815770,W2103070,63,59,4,20,39,0.9365079365079365
2,W2013397,W2103016,60,55,5,30,25,0.9166666666666666
3,W2008872,W2103014,59,56,3,23,33,0.9491525423728814
4,W1906436,W2010731,63,58,5,38,20,0.9206349206349206
5,W1906436,W2100789,82,29,53,20,9,0.35365853658536583
6,W2012950,W2012950,64,61,3,29,32,0.953125
7,W2012950,W2102707,66,61,5,29,32,0.9242424242424242
8,W1922549,W2102681,76,35,41,16,19,0.4605263157894737
9,W2017353,W2102609,59,53,6,20,33,0.8983050847457628
10,W2017475,W2102400,66,59,7,19,40,0.8939393939393939
11,W2013237,W2102210,35,31,4,16,15,0.8857142857142857
12,W2014615,W2102164,55,53,2,21,32,0.9636363636363636
13,W2000136,W2002769,51,45,6,17,28,0.8823529411764706
14,W2000136,W2102033,52,42,10,17,25,0.8076923076923077
15,W1922376,W2101810,62,54,8,30,24,0.8709677419354839
16,W1902904,W2101694,67,30,37,12,18,0.44776119402985076
17,W1814542,W2101517,54,44,10,21,23,0.8148148148148148
18,W2002517,W2006956,66,59,7,17,42,0.8939393939393939
19,W2002517,W2101417,64,57,7,19,38,0.890625
20,W1906283-003,W2101157,68,60,8,18,42,0.8823529411764706
21,W2009066,W2101130,55,55,0,20,35,1.0
22,W1806167,W2101083,52,50,2,19,31,0.9615384615384616
23,W2009316,W2012284,61,58,3,23,35,0.9508196721311475
24,W2009316,W2101032,61,56,5,23,33,0.9180327868852459
25,W2010438,W2013228,67,67,0,22,45,1.0
26,W2010438,W2100941,68,66,2,22,44,0.9705882352941176
